zcta area pop
1122 0.89 1079.0
1123 76.86 2018.0
1124 0.81 1049.0
1125 12.15 1076.0
1126 38.04 11323.0
1127 119.35 2149.0
1128 77.39 866.0
1129 95.39 5561.0
1130 133.42 2056.0
1131 15.86 1267.0
1132 52.94 3889.0
1133 80.67 189.0
1134 49.18 2460.0
1135 1.7 62.0
1136 29.09 1374.0
1137 38.15 1590.0
1138 18.5 790.0
1139 243.09 1206.0
1140 108.18 6941.0
1141 57.87 8205.0
1142 0.18 102.0
1143 7.94 165.0
1144 56.18 1658.0
1145 4.94 177.0
1146 37.81 6735.0
1147 36.97 1469.0
1148 30.42 10093.0
1149 0.17 65.0
1150 197.91 86.0
1151 52.08 3342.0
1152 29.11 905.0
1153 31.54 11096.0
1154 61.66 333.0
1155 28.32 824.0
1156 0.28 60.0
1157 21.19 2315.0
1158 2.96 243.0
1159 134.09 8906.0
1160 453.38 8830.0
1161 45.58 1118.0
1162 25.39 1534.0
1163 26.71 7372.0
1164 2.95 236.0
1165 10.91 725.0
1166 54.29 5453.0
1167 37.62 4280.0
1168 34.48 2374.0
1169 0.1 241.0
1170 68.46 3264.0
1171 19.89 16135.0
1172 1.98 77.0
1173 52.01 2271.0
1174 1.3 3305.0
1175 5.22 255.0
1176 217.59 1266.0
1177 42.01 14125.0
1178 11.15 2725.0
1179 25.54 1970.0
1180 15.79 1635.0
1181 36.86 2069.0
1182 43.61 1820.0
1183 0.21 286.0
1184 38.34 108.0
1185 96.13 460.0
1186 85.81 3789.0
1187 86.11 3950.0
1188 112.88 42986.0
1189 3.59 51.0
1190 2.38 104.0
1191 76.3 4629.0
1192 43.05 826.0
1193 28.07 4164.0
1194 50.91 2222.0
1195 71.5 4429.0
1196 2.32 3083.0
1197 38.35 1189.0
1198 9.73 451.0
1199 4.02 847.0
1200 66.91 725.0
1201 93.84 3540.0
1202 14.44 310.0
1203 46.13 766.0
1204 0.02 28.0
1205 21.36 3032.0
1206 20.25 1452.0
1207 35.79 3083.0
1208 53.75 3532.0
1209 6.92 256.0
1210 2.55 176.0
1211 44.17 1132.0
1212 29.45 815.0
1213 4.18 98.0
1214 42.7 658.0
1215 11.83 1361.0
1216 72.35 3641.0
1217 15.08 11596.0
1218 74.54 2070.0
1219 17.51 314.0
1220 0.87 2144.0
1221 8.75 38546.0
1222 53.76 33257.0
1223 140.7 38158.0
1224 9.75 3881.0
1225 5.46 9760.0
1226 80.73 4777.0
1227 35.15 2716.0
1228 17.83 1822.0
1229 39.61 1719.0
1230 17.75 2852.0
1231 83.3 2726.0
1232 8.97 357.0
1233 3.84 1271.0
1234 5.54 1880.0
1235 127.69 11299.0
1236 50.36 1711.0
1237 109.01 10901.0
1238 46.28 2197.0
1239 27.21 650.0
1240 58.18 2432.0
1241 0.4 49.0
1242 63.42 5457.0
1243 55.35 1868.0
1244 99.3 2267.0
1245 0.18 220.0
1246 48.01 1525.0
1247 19.81 345.0
1248 44.16 3984.0
1249 55.58 1092.0
1250 3.21 282.0
1251 35.22 4491.0
1252 1.22 378.0
1253 19.38 243.0
1254 12.36 271.0
1255 0.31 91.0
1256 181.08 10088.0
1257 0.04 19.0
1258 107.38 2211.0
1259 0.09 69.0
1260 183.3 2424.0
1261 41.26 1391.0
1262 2.45 127.0
1263 66.47 1815.0
1264 66.65 2461.0
1265 20.22 3512.0
1266 85.07 2861.0
1267 78.71 2357.0
1268 56.82 593.0
1269 53.78 1891.0
1270 46.08 1646.0
1271 88.84 16582.0
